,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
4979859,unitedhealth group,unitedhealthgroup.com,1980,hospital & health care,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/unitedhealth-group,57720,103293
3243805,huawei technologies,huawei.com,1987,telecommunications,10001+,"shenzhen, guangdong, china",china,linkedin.com/company/huawei,57255,113434
5486571,dell,dell.com,1984,information technology and services,10001+,"round rock, texas, united states",united states,linkedin.com/company/dell,55945,164468
1704309,gsk,gsk.com,1830,pharmaceuticals,10001+,"hayes, hillingdon, united kingdom",united kingdom,linkedin.com/company/glaxosmithkline,54117,147725
5058468,honeywell,honeywell.com,1985,electrical/electronic manufacturing,10001+,"morristown, new jersey, united states",united states,linkedin.com/company/honeywell,51721,123249
1360249,sap,sap.com,1972,computer software,10001+,"round rock, texas, united states",china,linkedin.com/company/sap,51441,102773
3737260,schlumberger,slb.com,1926,oil & energy,10001+,"houston, texas, united states",united states,linkedin.com/company/schlumberger,50715,122759
4985291,lockheed martin,lockheedmartin.com,1912,defense & space,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/lockheed-martin,50303,117362
4083731,"ayatama energi, trisco nusantara",slb.com,1999,design,10001+,"houston, texas, united states",switzerland,linkedin.com/company/ayatama-energi-trisco-nusantara,48806,49370
5842173,abb,abb.com,1960,electrical/electronic manufacturing,10001+,"zurich, zurich, switzerland",switzerland,linkedin.com/company/abb,47434,107903
